timestamp,risk_score,risk_level,state_confidence,p_healthy,p_drought,p_heat,p_pest,p_waterlogging,p_low_light,p_sensor_anomaly,uncertainty_score,uncertainty_level,dominant_risk,sensor_score,vision_score,sensor_reliability,vision_reliability,dynamic_sensor_weight,dynamic_vision_weight,reliability_adjustments,sensor_probabilities,vision_probabilities,fused_probabilities,smoothed_probabilities,trend_flags,consistency_flags,conflict_flags,action_permission,safety_action,safety_policy,reasons,recommendation,uncertainty_case
2026-08-03 00:00,11.3,很低,0.95,0.946,0.009,0.009,0.009,0.009,0.009,0.008,0.0,低,healthy,10.5,12.6,1.00,0.95,0.63,0.37,,P(healthy)=0.96；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.92；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.95；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.95；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,,,,observe,routine_patrol,低风险 + 低不确定性 → 常规巡检,环境传感器指标处于正常范围；图像标签显示作物状态健康,继续常规巡检,normal
2026-08-03 01:00,11.3,很低,0.95,0.946,0.009,0.009,0.009,0.009,0.009,0.008,0.0,低,healthy,10.5,12.6,1.00,0.95,0.63,0.37,,P(healthy)=0.96；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.92；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.95；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.95；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,,,,observe,routine_patrol,低风险 + 低不确定性 → 常规巡检,环境传感器指标处于正常范围；图像标签显示作物状态健康,继续常规巡检,normal
2026-08-03 02:00,11.3,很低,0.95,0.945,0.009,0.009,0.009,0.009,0.009,0.008,0.0,低,healthy,10.5,13.0,1.00,0.93,0.64,0.36,,P(healthy)=0.96；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.92；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.94；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.95；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,,,,observe,routine_patrol,低风险 + 低不确定性 → 常规巡检,环境传感器指标处于正常范围；图像标签显示作物状态健康,继续常规巡检,normal
2026-08-03 03:00,11.4,很低,0.94,0.945,0.009,0.009,0.009,0.009,0.009,0.008,0.0,低,healthy,10.5,13.1,1.00,0.92,0.64,0.36,,P(healthy)=0.96；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.92；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.94；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.94；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,,,,observe,routine_patrol,低风险 + 低不确定性 → 常规巡检,环境传感器指标处于正常范围；图像标签显示作物状态健康,继续常规巡检,normal
2026-08-03 04:00,11.6,很低,0.94,0.941,0.010,0.010,0.010,0.010,0.010,0.008,0.0,低,healthy,10.5,14.7,1.00,0.83,0.66,0.34,,P(healthy)=0.96；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.89；P(drought)=0.02；P(heat)=0.02；P(pest)=0.02；P(waterlogging)=0.02；P(low_light)=0.02；P(sensor_anomaly)=0.01,P(healthy)=0.94；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.94；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,,,,observe,routine_patrol,低风险 + 低不确定性 → 常规巡检,环境传感器指标处于正常范围；图像标签显示作物状态健康,继续常规巡检,normal
2026-08-03 05:00,11.5,很低,0.94,0.943,0.010,0.010,0.010,0.010,0.010,0.008,0.0,低,healthy,10.5,12.6,1.00,0.95,0.63,0.37,,P(healthy)=0.96；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.92；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.95；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.94；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,,,,observe,routine_patrol,低风险 + 低不确定性 → 常规巡检,环境传感器指标处于正常范围；图像标签显示作物状态健康,继续常规巡检,normal
2026-08-03 06:00,16.5,很低,0.87,0.865,0.013,0.009,0.082,0.013,0.009,0.008,0.0,低,healthy,10.5,65.9,1.00,0.64,0.77,0.23,视觉置信度中等，轻微降低视觉模态权重,P(healthy)=0.96；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.10；P(drought)=0.05；P(heat)=0.01；P(pest)=0.75；P(waterlogging)=0.05；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.76；P(drought)=0.02；P(heat)=0.01；P(pest)=0.18；P(waterlogging)=0.02；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.87；P(drought)=0.01；P(heat)=0.01；P(pest)=0.08；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,,,,observe,routine_patrol,低风险 + 低不确定性 → 常规巡检,环境传感器指标处于正常范围；图像标签疑似病虫害；视觉置信度中等，轻微降低视觉模态权重,继续常规巡检,normal
2026-08-03 07:00,14.5,很低,0.90,0.897,0.012,0.010,0.052,0.012,0.010,0.008,0.0,低,healthy,10.5,13.8,1.00,0.88,0.65,0.35,,P(healthy)=0.96；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.91；P(drought)=0.02；P(heat)=0.02；P(pest)=0.02；P(waterlogging)=0.02；P(low_light)=0.02；P(sensor_anomaly)=0.01,P(healthy)=0.94；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.90；P(drought)=0.01；P(heat)=0.01；P(pest)=0.05；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,,,,observe,routine_patrol,低风险 + 低不确定性 → 常规巡检,环境传感器指标处于正常范围；图像标签显示作物状态健康,继续常规巡检,normal
2026-08-03 08:00,13.1,很低,0.92,0.918,0.011,0.009,0.034,0.011,0.009,0.008,0.0,低,healthy,10.5,12.6,1.00,0.95,0.63,0.37,,P(healthy)=0.96；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.92；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.95；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.92；P(drought)=0.01；P(heat)=0.01；P(pest)=0.03；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,,,,observe,routine_patrol,低风险 + 低不确定性 → 常规巡检,环境传感器指标处于正常范围；图像标签显示作物状态健康,继续常规巡检,normal
2026-08-03 09:00,15.6,很低,0.89,0.886,0.055,0.009,0.023,0.010,0.009,0.008,0.0,低,healthy,10.5,13.3,1.00,0.91,0.64,0.36,,P(healthy)=0.96；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.91；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.94；P(drought)=0.01；P(heat)=0.01；P(pest)=0.01；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,P(healthy)=0.89；P(drought)=0.05；P(heat)=0.01；P(pest)=0.02；P(waterlogging)=0.01；P(low_light)=0.01；P(sensor_anomaly)=0.01,soil_moisture_decreasing_6h,,,observe,routine_patrol,低风险 + 低不确定性 → 常规巡检,环境传感器指标处于正常范围；图像标签显示作物状态健康；最近 6 小时土壤湿度持续下降，干旱状态概率上升,继续常规巡检,normal
