region_id,grid_row,grid_column,center_x_m,center_y_m,sample_count,first_seen_timestamp,last_seen_timestamp,avg_risk_score,max_risk_score,risk_observation_rate,avg_uncertainty_score,high_uncertainty_rate,dominant_risk_mode,peak_dominant_risk,latest_risk_level,latest_safety_action,most_common_safety_action
R01C01,1,1,10.0,10.0,42,2026-08-03 00:00,2026-09-13 00:00,35.6,75.9,0.524,20.6,0.548,healthy,waterlogging,中高,recheck_before_action,routine_patrol
R01C02,1,2,30.0,10.0,42,2026-08-03 01:00,2026-09-13 01:00,37.0,76.7,0.548,17.7,0.476,healthy,drought,中高,execute_recommended_action,routine_patrol
R01C03,1,3,50.0,10.0,42,2026-08-03 02:00,2026-09-13 02:00,36.7,73.0,0.548,18.9,0.500,healthy,drought,中高,recheck_before_action,routine_patrol
R01C04,1,4,70.0,10.0,42,2026-08-03 03:00,2026-09-13 03:00,36.6,72.4,0.524,18.3,0.500,healthy,waterlogging,中高,recheck_before_action,routine_patrol
R01C05,1,5,90.0,10.0,42,2026-08-03 04:00,2026-09-13 04:00,37.7,76.6,0.571,22.0,0.571,healthy,drought,中高,recheck_before_action,routine_patrol
R01C06,1,6,110.0,10.0,42,2026-08-03 05:00,2026-09-13 05:00,40.5,74.6,0.643,23.3,0.619,healthy,waterlogging,中高,recheck_before_action,routine_patrol
R02C01,2,1,10.0,29.9,42,2026-08-03 11:00,2026-09-13 11:00,40.5,80.7,0.524,8.4,0.190,healthy,drought,很低,routine_patrol,routine_patrol
R02C02,2,2,30.0,29.9,42,2026-08-03 10:00,2026-09-13 10:00,43.8,80.8,0.619,16.0,0.381,healthy,drought,低,monitor_more_context,routine_patrol
R02C03,2,3,50.0,30.0,42,2026-08-03 09:00,2026-09-13 09:00,44.1,80.6,0.619,15.0,0.381,healthy,drought,中高,recheck_before_action,routine_patrol
R02C04,2,4,70.0,30.0,42,2026-08-03 08:00,2026-09-13 08:00,40.2,80.5,0.548,14.1,0.381,healthy,drought,中高,recheck_before_action,routine_patrol
R02C05,2,5,90.0,30.0,42,2026-08-03 07:00,2026-09-13 07:00,39.0,80.0,0.571,17.0,0.476,healthy,drought,中高,recheck_before_action,routine_patrol
R02C06,2,6,110.0,30.0,42,2026-08-03 06:00,2026-09-13 06:00,40.2,76.0,0.619,20.3,0.548,healthy,drought,中高,recheck_before_action,routine_patrol
R03C01,3,1,10.0,50.0,42,2026-08-03 12:00,2026-09-13 12:00,46.6,80.9,0.714,17.9,0.405,drought,drought,很低,routine_patrol,resample_before_action
R03C02,3,2,30.0,50.0,42,2026-08-03 13:00,2026-09-13 13:00,44.9,80.8,0.643,14.5,0.333,drought,drought,很低,routine_patrol,routine_patrol
R03C03,3,3,50.0,50.0,42,2026-08-03 14:00,2026-09-13 14:00,47.1,80.8,0.690,18.6,0.429,drought,drought,很低,monitor_more_context,execute_recommended_action
R03C04,3,4,70.0,50.0,42,2026-08-03 15:00,2026-09-13 15:00,43.6,80.7,0.595,11.7,0.262,drought,drought,很低,routine_patrol,routine_patrol
R03C05,3,5,90.0,50.1,41,2026-08-03 16:00,2026-09-12 16:00,43.2,80.8,0.610,14.3,0.341,drought,drought,中高,recheck_before_action,routine_patrol
R03C06,3,6,110.0,50.1,41,2026-08-03 17:00,2026-09-12 17:00,40.3,80.7,0.561,17.9,0.439,drought,drought,中高,recheck_before_action,routine_patrol
R04C01,4,1,10.0,69.9,41,2026-08-03 23:00,2026-09-12 23:00,40.2,76.5,0.610,21.3,0.585,drought,drought,中高,recheck_before_action,routine_patrol
R04C02,4,2,30.0,69.9,41,2026-08-03 22:00,2026-09-12 22:00,40.6,74.8,0.610,19.9,0.561,drought,waterlogging,中高,recheck_before_action,routine_patrol
R04C03,4,3,50.0,70.0,41,2026-08-03 21:00,2026-09-12 21:00,39.6,74.1,0.585,19.1,0.537,drought,waterlogging,中高,recheck_before_action,routine_patrol
R04C04,4,4,70.0,70.0,41,2026-08-03 20:00,2026-09-12 20:00,39.1,76.1,0.561,19.3,0.537,drought,drought,中高,recheck_before_action,routine_patrol
R04C05,4,5,90.0,70.0,41,2026-08-03 19:00,2026-09-12 19:00,38.8,79.4,0.561,16.5,0.463,drought,drought,中高,execute_recommended_action,routine_patrol
R04C06,4,6,110.0,70.1,41,2026-08-03 18:00,2026-09-12 18:00,38.9,78.2,0.561,24.0,0.610,drought,drought,中高,recheck_before_action,routine_patrol
